,comment,sentiment,text
0,口味：不知道是我口高了，还是这家真不怎么样。 我感觉口味确实很一般很一般。上菜相当快，我敢说菜都是提前做好的。几乎都不热。菜品：酸汤肥牛，干辣干辣的，还有一股泡椒味。着实受不了。。。环境：室内整体装修确实不错，但是大厅人多，太乱。服务：一般吧。说不上好，但是也不差。价格：一般，大众价格，都能接受。人：太多了，排队很厉害。以后不排队也许还会来（比如早去路过），排队就不值了。票据：六日没票！告我周一到周五可能有票~~~ 相当不正规，在这一点同等价位远不如外婆家。,0,口味 ： 不 知道 是 我口 高 了 ， 还是 这家 真 不怎么样 。   我 感觉 口味 确实 很 一般 很 一般 。 上菜 相当 快 ， 我敢 说 菜 都 是 提前 做好 的 。 几乎 都 不 热 。 菜品 ： 酸 汤 肥牛 ， 干辣 干辣 的 ， 还有 一股 泡椒味 。 着实 受不了 。 。 。 环境 ： 室内 整体 装修 确实 不错 ， 但是 大厅 人多 ， 太乱 。 服务 ： 一般 吧 。 说不上 好 ， 但是 也 不差 。 价格 ： 一般 ， 大众 价格 ， 都 能 接受 。 人 ： 太多 了 ， 排队 很 厉害 。 以后 不 排队 也许 还会来 （ 比如 早 去 路过 ） ， 排队 就 不值 了 。 票据 ： 六日 没票 ！ 告 我 周一 到 周五 可能 有 票 ~ ~ ~   相当 不 正规 ， 在 这 一点 同等 价位 远不如 外婆家 。
1,菜品丰富质量好，服务也不错！很喜欢！,1,菜品 丰富 质量 好 ， 服务 也 不错 ！ 很 喜欢 ！
2,说真的，不晓得有人排队的理由，香精香精香精香精，拜拜！,0,说真的 ， 不 晓得 有人 排队 的 理由 ， 香精 香精 香精 香精 ， 拜拜 ！
3,菜量实惠，上菜还算比较快，疙瘩汤喝出了秋日的暖意，烧茄子吃出了大阪烧的味道，想吃土豆片也是口感绵软停不下来，都是下饭好菜。唯一不足就是，锅包肉的面糊太厚了，略油腻。有机会再来。,1,菜量 实惠 ， 上菜 还 算 比较 快 ， 疙瘩汤 喝出 了 秋日 的 暖意 ， 烧茄子 吃 出 了 大阪 烧 的 味道 ， 想 吃 土豆片 也 是 口感 绵软 停不下来 ， 都 是 下饭 好菜 。 唯一 不足 就是 ， 锅包肉 的 面糊 太厚 了 ， 略 油腻 。 有 机会 再 来 。
4,先说我算是娜娜家风荷园开业就一直在这里吃 每次出去回来总想吃一回 有时觉得外面的西式简餐总是不如天津的某些家和我口味 毕竟有地区差异 但是这家店是第一次去 因为朋友要去的 以前都去别家娜娜 先说1点多20左右到的 但是还是需要等位子的 得知2点钟闭餐 下午只有下午茶 然后还没说话了 门口的小哥就被告知什么我也不知道能等多久 也许是好几桌一起走 也许是一直坐着不走 请问 我有问吗 我只是很客气的问问是不是2点闭餐就不能做主食了 您了巴拉巴拉的跟我说这么多干什么 要不是我朋友点的地方 我肯定走 然后到了位子 知道您家的安排是无论几人轮到什么桌子都可以坐 比如2人坐8人位也可以 但是到我们明明有稍大一点的桌子 还是给我们左手边最小的小咖啡桌 经过协商才换的窗边的座位 因为我要意面松饼 沙拉 薯泥什么的主食菜品小咖啡桌也不好放开 还好毕竟后面的服务人员都还可以,1,先说 我 算是 娜娜 家风 荷园 开业 就 一直 在 这里 吃   每次 出去 回来 总想 吃 一回   有时 觉得 外面 的 西式 简餐 总是 不如 天津 的 某些 家 和 我 口味   毕竟 有 地区 差异   但是 这家 店 是 第一次 去   因为 朋友 要 去 的   以前 都 去 别家 娜娜   先说 1 点多 20 左右 到 的   但是 还是 需要 等 位子 的   得知 2 点钟 闭餐   下午 只有 下午茶   然后 还 没 说话 了   门口 的 小哥 就 被 告知 什么 我 也 不 知道 能 等 多久   也许 是 好 几桌 一起 走   也许 是 一直 坐 着 不 走   请问   我 有 问 吗   我 只是 很 客气 的 问问 是不是 2 点 闭餐 就 不能 做 主食 了   您 了 巴拉巴 拉 的 跟 我 说 这么 多 干什么   要不是 我 朋友 点 的 地方   我 肯定 走   然后 到 了 位子   知道 您 家 的 安排 是 无论 几人轮 到 什么 桌子 都 可以 坐   比如 2 人 坐 8 人位 也 可以   但是 到 我们 明明 有 稍 大 一点 的 桌子   还是 给 我们 左手边 最小 的 小 咖啡 桌   经过 协商 才 换 的 窗边 的 座位   因为 我要 意面 松饼   沙拉   薯泥 什么 的 主食 菜品 小 咖啡 桌 也 不好 放开   还好 毕竟 后面 的 服务 人员 都 还 可以
5,菜很好吃 环境也不错   值得推荐！！！！！！！！！！！！！！,1,菜 很 好吃   环境 也 不错       值得 推荐 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！
6,很喜欢的餐厅，东北风味儿，以后还会再去！,1,很 喜欢 的 餐厅 ， 东北风 味儿 ， 以后 还会 再 去 ！
7,口味属于家常菜一类，价格有点小贵，逛街的时候吃吃还可以。,1,口味 属于 家常菜 一类 ， 价格 有点 小贵 ， 逛街 的 时候 吃 吃 还 可以 。
8,最近太忙了，估计要暂时告别大众点评一段时间了。这条应该是这个月的最后一条点评了，全五星好评。在天津连续下雨的某日，我和实验室两人来到了南开区的大悦城，直奔网红店小吊梨汤。果然，排队得人不多了（以往不排队个半小时至一小时根本吃不上）。大厅基本已经坐满，我们到了一个小的隔间里面，隔间里面四张桌子。待我们看过菜单之后才知道这家和天津老码头、南京大牌档之类的馆子很相似，都是以贩卖各种精致小吃为主，分量不大（一部分分量也很大），但是味道很不错。具体菜品就不多做介绍了，我们也是按照大众点评推荐的前几个点的，实话实说真的是味道不错，大伙有兴趣可以试试。这里服务很好，服务员热情而有礼貌，效率较高。给大家提醒下，平常来吃的话一定早排队。最后希望这段时间的努力能够助我走向理想的地方！！,1,最近 太忙 了 ， 估计 要 暂时 告别 大众 点评 一段时间 了 。 这 条 应该 是 这个 月 的 最后 一条 点评 了 ， 全 五星 好评 。 在 天津 连续 下雨 的 某日 ， 我 和 实验室 两人 来到 了 南开区 的 大悦 城 ， 直奔 网红店 小 吊梨汤 。 果然 ， 排队 得 人 不 多 了 （ 以往 不 排队 个 半小时 至 一 小时 根本 吃不上 ） 。 大厅 基本 已经 坐满 ， 我们 到 了 一个 小 的 隔间 里面 ， 隔间 里面 四张 桌子 。 待 我们 看过 菜单 之后 才 知道 这家 和 天津 老 码头 、 南京 大牌 档 之类 的 馆子 很 相似 ， 都 是 以 贩卖 各种 精致 小吃 为主 ， 分量 不 大 （ 一部分 分量 也 很大 ） ， 但是 味道 很 不错 。 具体 菜品 就 不 多 做 介绍 了 ， 我们 也 是 按照 大众 点评 推荐 的 前 几个 点 的 ， 实话实说 真的 是 味道 不错 ， 大伙 有 兴趣 可以 试试 。 这里 服务 很 好 ， 服务员 热情 而 有 礼貌 ， 效率 较 高 。 给 大家 提醒 下 ， 平常 来 吃 的话 一定 早 排队 。 最后 希望 这 段时间 的 努力 能够 助 我 走向 理想 的 地方 ！ ！
9,我去了一次感觉喜欢上了这，无论环境还有菜品在自助餐里已经是很不错了,1,我 去 了 一次 感觉 喜欢 上 了 这 ， 无论 环境 还有 菜品 在 自助餐 里 已经 是 很 不错 了
