text,sentiment,source,target
口味 ： 不 知道 是 我口 高 了 ， 还是 这家 真 不怎么样 。   我 感觉 口味 确实 很 一般 很 一般 。 上菜 相当 快 ， 我敢 说 菜 都 是 提前 做好 的 。 几乎 都 不 热 。 菜品 ： 酸 汤 肥牛 ， 干辣 干辣 的 ， 还有 一股 泡椒味 。 着实 受不了 。 。 。 环境 ： 室内 整体 装修 确实 不错 ， 但是 大厅 人多 ， 太乱 。 服务 ： 一般 吧 。 说不上 好 ， 但是 也 不差 。 价格 ： 一般 ， 大众 价格 ， 都 能 接受 。 人 ： 太多 了 ， 排队 很 厉害 。 以后 不 排队 也许 还会来 （ 比如 早 去 路过 ） ， 排队 就 不值 了 。 票据 ： 六日 没票 ！ 告 我 周一 到 周五 可能 有 票 ~ ~ ~   相当 不 正规 ， 在 这 一点 同等 价位 远不如 外婆家 。,0,口味 ,： 不 知道 是 我口 高 了 ， 还是 这家 真 不怎么样 。   我 感觉 口味 确实 很 一般 很 一般 。 上菜 相当 快 ， 我敢 说 菜 都 是 提前 做好 的 。 几乎 都 不 热 。 菜品 ： 酸 汤 肥牛 ， 干辣 干辣 的 ， 还有 一股 泡椒味 。 着实 受不了 。 。 。 环境 ： 室内 整体 装修 确实 不错 ， 但是 大厅 人多 ， 太乱 。 服务 ： 一般 吧 。 说不上 好 ， 但是 也 不差 。 价格 ： 一般 ， 大众 价格 ， 都 能 接受 。 人 ： 太多 了 ， 排队 很 厉害 。 以后 不 排队 也许 还会来 （ 比如 早 去 路过 ） ， 排队 就 不值 了 。 票据 ： 六日 没票 ！ 告 我 周一 到 周五 可能 有 票 ~ ~ ~   相当 不 正规 ， 在 这 一点 同等 价位 远不如 外婆家 。
菜品 丰富 质量 好 ， 服务 也 不错 ！ 很 喜欢 ！,1,菜品 ,丰富 质量 好 ， 服务 也 不错 ！ 很 喜欢 ！
说真的 ， 不 晓得 有人 排队 的 理由 ， 香精 香精 香精 香精 ， 拜拜 ！,0,说真的 ,， 不 晓得 有人 排队 的 理由 ， 香精 香精 香精 香精 ， 拜拜 ！
菜量 实惠 ， 上菜 还 算 比较 快 ， 疙瘩汤 喝出 了 秋日 的 暖意 ， 烧茄子 吃 出 了 大阪 烧 的 味道 ， 想 吃 土豆片 也 是 口感 绵软 停不下来 ， 都 是 下饭 好菜 。 唯一 不足 就是 ， 锅包肉 的 面糊 太厚 了 ， 略 油腻 。 有 机会 再 来 。,1,菜量 ,实惠 ， 上菜 还 算 比较 快 ， 疙瘩汤 喝出 了 秋日 的 暖意 ， 烧茄子 吃 出 了 大阪 烧 的 味道 ， 想 吃 土豆片 也 是 口感 绵软 停不下来 ， 都 是 下饭 好菜 。 唯一 不足 就是 ， 锅包肉 的 面糊 太厚 了 ， 略 油腻 。 有 机会 再 来 。
先说 我 算是 娜娜 家风 荷园 开业 就 一直 在 这里 吃   每次 出去 回来 总想 吃 一回   有时 觉得 外面 的 西式 简餐 总是 不如 天津 的 某些 家 和 我 口味   毕竟 有 地区 差异   但是 这家 店 是 第一次 去   因为 朋友 要 去 的   以前 都 去 别家 娜娜   先说 1 点多 20 左右 到 的   但是 还是 需要 等 位子 的   得知 2 点钟 闭餐   下午 只有 下午茶   然后 还 没 说话 了   门口 的 小哥 就 被 告知 什么 我 也 不 知道 能 等 多久   也许 是 好 几桌 一起 走   也许 是 一直 坐 着 不 走   请问   我 有 问 吗   我 只是 很 客气 的 问问 是不是 2 点 闭餐 就 不能 做 主食 了   您 了 巴拉巴 拉 的 跟 我 说 这么 多 干什么   要不是 我 朋友 点 的 地方   我 肯定 走   然后 到 了 位子   知道 您 家 的 安排 是 无论 几人轮 到 什么 桌子 都 可以 坐   比如 2 人 坐 8 人位 也 可以   但是 到 我们 明明 有 稍 大 一点 的 桌子   还是 给 我们 左手边 最小 的 小 咖啡 桌   经过 协商 才 换 的 窗边 的 座位   因为 我要 意面 松饼   沙拉   薯泥 什么 的 主食 菜品 小 咖啡 桌 也 不好 放开   还好 毕竟 后面 的 服务 人员 都 还 可以,1,先说 ,我 算是 娜娜 家风 荷园 开业 就 一直 在 这里 吃   每次 出去 回来 总想 吃 一回   有时 觉得 外面 的 西式 简餐 总是 不如 天津 的 某些 家 和 我 口味   毕竟 有 地区 差异   但是 这家 店 是 第一次 去   因为 朋友 要 去 的   以前 都 去 别家 娜娜   先说 1 点多 20 左右 到 的   但是 还是 需要 等 位子 的   得知 2 点钟 闭餐   下午 只有 下午茶   然后 还 没 说话 了   门口 的 小哥 就 被 告知 什么 我 也 不 知道 能 等 多久   也许 是 好 几桌 一起 走   也许 是 一直 坐 着 不 走   请问   我 有 问 吗   我 只是 很 客气 的 问问 是不是 2 点 闭餐 就 不能 做 主食 了   您 了 巴拉巴 拉 的 跟 我 说 这么 多 干什么   要不是 我 朋友 点 的 地方   我 肯定 走   然后 到 了 位子   知道 您 家 的 安排 是 无论 几人轮 到 什么 桌子 都 可以 坐   比如 2 人 坐 8 人位 也 可以   但是 到 我们 明明 有 稍 大 一点 的 桌子   还是 给 我们 左手边 最小 的 小 咖啡 桌   经过 协商 才 换 的 窗边 的 座位   因为 我要 意面 松饼   沙拉   薯泥 什么 的 主食 菜品 小 咖啡 桌 也 不好 放开   还好 毕竟 后面 的 服务 人员 都 还 可以
菜 很 好吃   环境 也 不错       值得 推荐 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！,1,菜 ,很 好吃   环境 也 不错       值得 推荐 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！
很 喜欢 的 餐厅 ， 东北风 味儿 ， 以后 还会 再 去 ！,1,很 ,喜欢 的 餐厅 ， 东北风 味儿 ， 以后 还会 再 去 ！
口味 属于 家常菜 一类 ， 价格 有点 小贵 ， 逛街 的 时候 吃 吃 还 可以 。,1,口味 ,属于 家常菜 一类 ， 价格 有点 小贵 ， 逛街 的 时候 吃 吃 还 可以 。
最近 太忙 了 ， 估计 要 暂时 告别 大众 点评 一段时间 了 。 这 条 应该 是 这个 月 的 最后 一条 点评 了 ， 全 五星 好评 。 在 天津 连续 下雨 的 某日 ， 我 和 实验室 两人 来到 了 南开区 的 大悦 城 ， 直奔 网红店 小 吊梨汤 。 果然 ， 排队 得 人 不 多 了 （ 以往 不 排队 个 半小时 至 一 小时 根本 吃不上 ） 。 大厅 基本 已经 坐满 ， 我们 到 了 一个 小 的 隔间 里面 ， 隔间 里面 四张 桌子 。 待 我们 看过 菜单 之后 才 知道 这家 和 天津 老 码头 、 南京 大牌 档 之类 的 馆子 很 相似 ， 都 是 以 贩卖 各种 精致 小吃 为主 ， 分量 不 大 （ 一部分 分量 也 很大 ） ， 但是 味道 很 不错 。 具体 菜品 就 不 多 做 介绍 了 ， 我们 也 是 按照 大众 点评 推荐 的 前 几个 点 的 ， 实话实说 真的 是 味道 不错 ， 大伙 有 兴趣 可以 试试 。 这里 服务 很 好 ， 服务员 热情 而 有 礼貌 ， 效率 较 高 。 给 大家 提醒 下 ， 平常 来 吃 的话 一定 早 排队 。 最后 希望 这 段时间 的 努力 能够 助 我 走向 理想 的 地方 ！ ！,1,最近 ,太忙 了 ， 估计 要 暂时 告别 大众 点评 一段时间 了 。 这 条 应该 是 这个 月 的 最后 一条 点评 了 ， 全 五星 好评 。 在 天津 连续 下雨 的 某日 ， 我 和 实验室 两人 来到 了 南开区 的 大悦 城 ， 直奔 网红店 小 吊梨汤 。 果然 ， 排队 得 人 不 多 了 （ 以往 不 排队 个 半小时 至 一 小时 根本 吃不上 ） 。 大厅 基本 已经 坐满 ， 我们 到 了 一个 小 的 隔间 里面 ， 隔间 里面 四张 桌子 。 待 我们 看过 菜单 之后 才 知道 这家 和 天津 老 码头 、 南京 大牌 档 之类 的 馆子 很 相似 ， 都 是 以 贩卖 各种 精致 小吃 为主 ， 分量 不 大 （ 一部分 分量 也 很大 ） ， 但是 味道 很 不错 。 具体 菜品 就 不 多 做 介绍 了 ， 我们 也 是 按照 大众 点评 推荐 的 前 几个 点 的 ， 实话实说 真的 是 味道 不错 ， 大伙 有 兴趣 可以 试试 。 这里 服务 很 好 ， 服务员 热情 而 有 礼貌 ， 效率 较 高 。 给 大家 提醒 下 ， 平常 来 吃 的话 一定 早 排队 。 最后 希望 这 段时间 的 努力 能够 助 我 走向 理想 的 地方 ！ ！
我 去 了 一次 感觉 喜欢 上 了 这 ， 无论 环境 还有 菜品 在 自助餐 里 已经 是 很 不错 了,1,我 ,去 了 一次 感觉 喜欢 上 了 这 ， 无论 环境 还有 菜品 在 自助餐 里 已经 是 很 不错 了
10 点 半点 的 餐 ， 12 点 还 没 下单 ， 这 速度 也 是 醉 了 。 味道 还 可以 ， 德国 香肠 没有 太 好吃 ， 焗 土豆 和 柠檬 鸡 还是 推荐 的 。,0,NA,10 点 半点 的 餐 ， 12 点 还 没 下单 ， 这 速度 也 是 醉 了 。 味道 还 可以 ， 德国 香肠 没有 太 好吃 ， 焗 土豆 和 柠檬 鸡 还是 推荐 的 。
